Issue Type,Summary,Description,Epic Name,Assignee,Status
Epic,E1: Authentication & User,Authentication and user management system,E1,110-002 Top Kritsana Piwgram,Done
Story,US-01 สมัครสมาชิก Booster/Pioneer,สมัครสมาชิกพร้อม validate email domain .ac.th สำหรับ Pioneer,E1,110-002 Top Kritsana Piwgram,Done
Story,US-02 Login / Logout,Login ด้วย email/password + JWT cookie + Logout,E1,110-002 Top Kritsana Piwgram,Done
Story,US-03 Google OAuth,Login ด้วย Google OAuth รองรับ pioneer และ booster,E1,110-002 Top Kritsana Piwgram,Done
Story,US-04 Email Verification,ยืนยัน email ด้วย token ที่ส่งไปทาง email,E1,110-002 Top Kritsana Piwgram,Done
Story,US-05 Forgot / Reset Password,ขอ reset password และตั้งรหัสผ่านใหม่ผ่าน token,E1,110-002 Top Kritsana Piwgram,Done
Story,US-06 ดู / แก้ไข Profile,ดูและแก้ไขข้อมูลโปรไฟล์ผู้ใช้,E1,110-002 Top Kritsana Piwgram,Done
Story,US-07 ยืนยันตัวตน Student Card + ID Card,Pioneer ส่งบัตรนักศึกษาและบัตรประชาชนเพื่อยืนยันตัวตน,E1,110-002 Top Kritsana Piwgram,Done
Story,US-08 จัดการ Bank Account,เพิ่มและแก้ไขบัญชีธนาคาร,E1,110-002 Top Kritsana Piwgram,Done
Story,US-09 University Management,Admin จัดการข้อมูลมหาวิทยาลัยและ domain email,E1,110-002 Top Kritsana Piwgram,Done
Story,US-10 Unit Test Auth & User,เขียน unit test ครอบคลุม Auth และ User service,E1,110-002 Top Kritsana Piwgram,In Progress
Epic,E2: Project Management,Project creation and management system,E2,110-002 Top Kritsana Piwgram,In Progress
Story,US-11 สร้าง / แก้ไข / ลบ โปรเจกต์,Pioneer สร้างและจัดการโปรเจกต์ในสถานะ draft,E2,110-002 Top Kritsana Piwgram,Done
Story,US-12 จัดการ Media / Story / FAQ / Thread,Pioneer จัดการ media story FAQ และ thread ของโปรเจกต์,E2,110-002 Top Kritsana Piwgram,Done
Story,US-13 จัดการ Milestone,Pioneer จัดการ milestone สูงสุด 4 อัน พร้อมคำนวณ % release,E2,110-002 Top Kritsana Piwgram,Done
Story,US-14 Submit for Review,Pioneer ส่งโปรเจกต์ให้ admin ตรวจสอบ,E2,110-002 Top Kritsana Piwgram,Done
Story,US-15 ดูโปรเจกต์ Public,Booster ดูรายการโปรเจกต์ที่เปิดระดมทุนอยู่,E2,110-002 Top Kritsana Piwgram,Done
